date;day_text;note
2026-01-01;;New Year's Day
2026-04-05;;Easter Sunday
2026-05-01;;International Worker's Day
2026-05-08;;Day of Remembrance and Victory
2026-06-28;;Constitution Day
2026-07-15;;Statehood Day
2026-08-23;;Day of the National Flag
2026-08-24;;Independence Day
2026-10-01;;Defenders of Ukraine Day
2026-11-11;;Veterans Day/Remembrance Day
2026-11-21;;Day of Dignity and Freedom
2026-12-25;;Christmas Day
